PIF 
------------------- 
|TOKEN   |  ST_POS |
------------------- 
|go     |     -1  |
|variable     |     -1  |
|ID     |     (17, 0)  |
|^     |     -1  |
|int     |     -1  |
|variable     |     -1  |
|ID     |     (18, 0)  |
|^     |     -1  |
|int     |     -1  |
|variable     |     -1  |
|ID     |     (4, 0)  |
|^     |     -1  |
|int     |     -1  |
|variable     |     -1  |
|ID     |     (22, 0)  |
|^     |     -1  |
|int     |     -1  |
|ID     |     (17, 0)  |
|<=>     |     -1  |
|input     |     -1  |
|(     |     -1  |
|"     |     -1  |
|CONSTANT     |     (0, 0)  |
|CONSTANT     |     (24, 0)  |
|:     |     -1  |
|"     |     -1  |
|)     |     -1  |
|ID     |     (18, 0)  |
|<=>     |     -1  |
|input     |     -1  |
|(     |     -1  |
|"     |     -1  |
|CONSTANT     |     (4, 1)  |
|CONSTANT     |     (24, 0)  |
|:     |     -1  |
|"     |     -1  |
|)     |     -1  |
|if     |     -1  |
|ID     |     (17, 0)  |
|>     |     -1  |
|ID     |     (18, 0)  |
|:     |     -1  |
|ID     |     (4, 0)  |
|<=>     |     -1  |
|ID     |     (18, 0)  |
|else     |     -1  |
|:     |     -1  |
|ID     |     (4, 0)  |
|<=>     |     -1  |
|ID     |     (17, 0)  |
|for     |     -1  |
|ID     |     (25, 0)  |
|in     |     -1  |
|range     |     -1  |
|(     |     -1  |
|CONSTANT     |     (9, 0)  |
|,     |     -1  |
|ID     |     (4, 0)  |
|+     |     -1  |
|CONSTANT     |     (9, 0)  |
|)     |     -1  |
|:     |     -1  |
|if     |     -1  |
|(     |     -1  |
|ID     |     (17, 0)  |
|%     |     -1  |
|ID     |     (25, 0)  |
|=:=     |     -1  |
|CONSTANT     |     (8, 0)  |
|)     |     -1  |
|and     |     -1  |
|(     |     -1  |
|ID     |     (18, 0)  |
|%     |     -1  |
|ID     |     (25, 0)  |
|=:=     |     -1  |
|CONSTANT     |     (8, 0)  |
|)     |     -1  |
|:     |     -1  |
|ID     |     (22, 0)  |
|<=>     |     -1  |
|ID     |     (25, 0)  |
|display     |     -1  |
|(     |     -1  |
|ID     |     (22, 0)  |
|)     |     -1  |
|stop     |     -1  |
-------------------
